32 primary inputs
32 primary outputs
256 AND gates
32 NOT gates
2128 NOR gates

Fanout...
AND-545: OUTPUT-545
NOR-1581: OUTPUT-1581
NOR-1901: OUTPUT-1901
NOR-2223: OUTPUT-2223
NOR-2548: OUTPUT-2548
NOR-2877: OUTPUT-2877
NOR-3211: OUTPUT-3211
NOR-3552: OUTPUT-3552
NOR-3895: OUTPUT-3895
NOR-4241: OUTPUT-4241
NOR-4591: OUTPUT-4591
NOR-4946: OUTPUT-4946
NOR-5308: OUTPUT-5308
NOR-5672: OUTPUT-5672
NOR-5971: OUTPUT-5971
NOR-6123: OUTPUT-6123
NOR-6150: OUTPUT-6150
NOR-6160: OUTPUT-6160
NOR-6170: OUTPUT-6170
NOR-6180: OUTPUT-6180
NOR-6190: OUTPUT-6190
NOR-6200: OUTPUT-6200
NOR-6210: OUTPUT-6210
NOR-6220: OUTPUT-6220
NOR-6230: OUTPUT-6230
NOR-6240: OUTPUT-6240
NOR-6250: OUTPUT-6250
NOR-6260: OUTPUT-6260
NOR-6270: OUTPUT-6270
NOR-6280: OUTPUT-6280
NOR-6287: OUTPUT-6287
NOR-6288: OUTPUT-6288
AND-546: NOR-1446, NOR-1507
NOR-2254: NOR-2309, NOR-2346
NOR-2257: NOR-2313, NOR-2348
NOR-2260: NOR-2317, NOR-2318, NOR-2464
NOR-2264: NOR-2319
NOR-2265: NOR-2319
NOR-2266: NOR-2322, NOR-2357
NOR-2269: NOR-2326, NOR-2327, NOR-2478
NOR-2273: NOR-2328, NOR-2329, NOR-2483
NOR-2277: NOR-2330, NOR-2331, NOR-2488
NOR-2281: NOR-2332, NOR-2333, NOR-2493
NOR-2285: NOR-2334, NOR-2335, NOR-2498
NOR-2289: NOR-2336, NOR-2337, NOR-2503
NOR-2293: NOR-2338, NOR-2339, NOR-2508
NOR-2297: NOR-2340, NOR-2341, NOR-2513
NOR-2301: NOR-2342, NOR-2343, NOR-2518
NOR-2305: NOR-2344, NOR-2345, NOR-2523
NOR-2309: NOR-2346, NOR-2347, NOR-2528
NOR-2313: NOR-2348, NOR-2349, NOR-2533
NOR-2317: NOR-2350
NOR-2318: NOR-2350
NOR-2319: NOR-2353, NOR-2402
NOR-2322: NOR-2357, NOR-2358, NOR-2359
NOR-2326: NOR-2362
NOR-2327: NOR-2362
NOR-2328: NOR-2365
NOR-2329: NOR-2365
NOR-2330: NOR-2368
NOR-2331: NOR-2368
NOR-2332: NOR-2371
NOR-2333: NOR-2371
NOR-2334: NOR-2374
NOR-2335: NOR-2374
NOR-2336: NOR-2377
NOR-2337: NOR-2377
NOR-2338: NOR-2380
NOR-2339: NOR-2380
NOR-2340: NOR-2383
NOR-2341: NOR-2383
NOR-2342: NOR-2386
NOR-2343: NOR-2386
NOR-2344: NOR-2389
NOR-2345: NOR-2389
NOR-2346: NOR-2392
NOR-2347: NOR-2392
NOR-2348: NOR-2395
NOR-2349: NOR-2395
NOR-2350: NOR-2398, NOR-2462
NOR-2353: NOR-2402, NOR-2403, NOR-2404
NOR-2357: NOR-2407
NOR-2358: NOR-2407
NOR-2359: NOR-2410, NOR-2475
NOR-2362: NOR-2414, NOR-2476
NOR-2365: NOR-2418, NOR-2481
NOR-2368: NOR-2422, NOR-2486
NOR-2371: NOR-2426, NOR-2491
NOR-2374: NOR-2430, NOR-2496
NOR-2377: NOR-2434, NOR-2501
NOR-2380: NOR-2438, NOR-2506
NOR-2383: NOR-2442, NOR-2511
NOR-2386: NOR-2446, NOR-2516
NOR-2389: NOR-2450, NOR-2521
NOR-2392: NOR-2454, NOR-2526
NOR-2395: NOR-2458, NOR-2531
NOR-2398: NOR-2462, NOR-2463, NOR-2464
NOR-2402: NOR-2467
NOR-2403: NOR-2467
NOR-2404: NOR-2470, NOR-2544
NOR-2407: NOR-2470, NOR-2543
NOR-2410: NOR-2474, NOR-2475, NOR-2650
NOR-2414: NOR-2476, NOR-2477, NOR-2478
NOR-2418: NOR-2481, NOR-2482, NOR-2483
NOR-2422: NOR-2486, NOR-2487, NOR-2488
NOR-2426: NOR-2491, NOR-2492, NOR-2493
NOR-2430: NOR-2496, NOR-2497, NOR-2498
NOR-2434: NOR-2501, NOR-2502, NOR-2503
NOR-2438: NOR-2506, NOR-2507, NOR-2508
NOR-2442: NOR-2511, NOR-2512, NOR-2513
NOR-2446: NOR-2516, NOR-2517, NOR-2518
NOR-2450: NOR-2521, NOR-2522, NOR-2523
NOR-2454: NOR-2526, NOR-2527, NOR-2528
NOR-2458: NOR-2531, NOR-2532, NOR-2533
NOR-2462: NOR-2536
NOR-2463: NOR-2536
NOR-2464: NOR-2539, NOR-2587
NOR-2467: NOR-2539, NOR-2586
NOR-2470: NOR-2543, NOR-2544, NOR-2684
NOR-2474: NOR-2545
NOR-2475: NOR-2545
NOR-2476: NOR-2548
NOR-2477: NOR-2548
NOR-2478: NOR-2595, NOR-2654
NOR-2481: NOR-2549
NOR-2482: NOR-2549
NOR-2483: NOR-2599, NOR-2656
NOR-2486: NOR-2552
NOR-2487: NOR-2552
NOR-2488: NOR-2603, NOR-2658
NOR-2491: NOR-2555
NOR-2492: NOR-2555
NOR-2493: NOR-2607, NOR-2660
NOR-2496: NOR-2558
NOR-2497: NOR-2558
NOR-2498: NOR-2611, NOR-2662
NOR-2501: NOR-2561
NOR-2502: NOR-2561
NOR-2503: NOR-2615, NOR-2664
NOR-2506: NOR-2564
NOR-2507: NOR-2564
NOR-2508: NOR-2619, NOR-2666
NOR-2511: NOR-2567
NOR-2512: NOR-2567
NOR-2513: NOR-2623, NOR-2668
NOR-2516: NOR-2570
NOR-2517: NOR-2570
NOR-2518: NOR-2627, NOR-2670
NOR-2521: NOR-2573
NOR-2522: NOR-2573
NOR-2523: NOR-2631, NOR-2672
NOR-2526: NOR-2576
NOR-2527: NOR-2576
NOR-2528: NOR-2635, NOR-2674
NOR-2531: NOR-2579
NOR-2532: NOR-2579
NOR-2533: NOR-2582, NOR-2640
NOR-2536: NOR-2582, NOR-2639
NOR-2539: NOR-2586, NOR-2587, NOR-2733
NOR-2543: NOR-2588
NOR-2544: NOR-2588
NOR-2545: NOR-2591, NOR-2648
NOR-2549: NOR-2595, NOR-2653
NOR-2552: NOR-2599, NOR-2655
NOR-2555: NOR-2603, NOR-2657
NOR-2558: NOR-2607, NOR-2659
NOR-2561: NOR-2611, NOR-2661
NOR-2564: NOR-2615, NOR-2663
NOR-2567: NOR-2619, NOR-2665
NOR-2570: NOR-2623, NOR-2667
NOR-2573: NOR-2627, NOR-2669
NOR-2576: NOR-2631, NOR-2671
NOR-2579: NOR-2635, NOR-2673
NOR-2582: NOR-2639, NOR-2640, NOR-2791
NOR-2586: NOR-2641
NOR-2587: NOR-2641
NOR-2588: NOR-2644, NOR-2682
NOR-2591: NOR-2648, NOR-2649, NOR-2650
NOR-2595: NOR-2653, NOR-2654, NOR-2808
NOR-2599: NOR-2655, NOR-2656, NOR-2813
NOR-2603: NOR-2657, NOR-2658, NOR-2818
NOR-2607: NOR-2659, NOR-2660, NOR-2823
NOR-2611: NOR-2661, NOR-2662, NOR-2828
NOR-2615: NOR-2663, NOR-2664, NOR-2833
NOR-2619: NOR-2665, NOR-2666, NOR-2838
NOR-2623: NOR-2667, NOR-2668, NOR-2843
NOR-2627: NOR-2669, NOR-2670, NOR-2848
NOR-2631: NOR-2671, NOR-2672, NOR-2853
NOR-2635: NOR-2673, NOR-2674, NOR-2858
NOR-2639: NOR-2675
NOR-2640: NOR-2675
NOR-2641: NOR-2678, NOR-2731
NOR-2644: NOR-2682, NOR-2683, NOR-2684
NOR-2648: NOR-2687
NOR-2649: NOR-2687
NOR-2650: NOR-2690, NOR-2744
NOR-2653: NOR-2694
NOR-2654: NOR-2694
NOR-2655: NOR-2697
NOR-2656: NOR-2697
NOR-2657: NOR-2700
NOR-2658: NOR-2700
NOR-2659: NOR-2703
NOR-2660: NOR-2703
NOR-2661: NOR-2706
NOR-2662: NOR-2706
NOR-2663: NOR-2709
NOR-2664: NOR-2709
NOR-2665: NOR-2712
NOR-2666: NOR-2712
NOR-2667: NOR-2715
NOR-2668: NOR-2715
NOR-2669: NOR-2718
NOR-2670: NOR-2718
NOR-2671: NOR-2721
NOR-2672: NOR-2721
NOR-2673: NOR-2724
NOR-2674: NOR-2724
NOR-2675: NOR-2727, NOR-2789
NOR-2678: NOR-2731, NOR-2732, NOR-2733
NOR-2682: NOR-2736
NOR-2683: NOR-2736
NOR-2684: NOR-2739, NOR-2802
NOR-2687: NOR-2739, NOR-2801
NOR-2690: NOR-2743, NOR-2744, NOR-2923
NOR-2694: NOR-2745, NOR-2806
NOR-2697: NOR-2749, NOR-2811
NOR-2700: NOR-2753, NOR-2816
NOR-2703: NOR-2757, NOR-2821
NOR-2706: NOR-2761, NOR-2826
NOR-2709: NOR-2765, NOR-2831
NOR-2712: NOR-2769, NOR-2836
NOR-2715: NOR-2773, NOR-2841
NOR-2718: NOR-2777, NOR-2846
NOR-2721: NOR-2781, NOR-2851
NOR-2724: NOR-2785, NOR-2856
NOR-2727: NOR-2789, NOR-2790, NOR-2791
NOR-2731: NOR-2794
NOR-2732: NOR-2794
NOR-2733: NOR-2797, NOR-2869
NOR-2736: NOR-2797, NOR-2868
NOR-2739: NOR-2801, NOR-2802, NOR-2977
NOR-2743: NOR-2803
NOR-2744: NOR-2803
NOR-2745: NOR-2806, NOR-2807, NOR-2808
NOR-2749: NOR-2811, NOR-2812, NOR-2813
NOR-2753: NOR-2816, NOR-2817, NOR-2818
NOR-2757: NOR-2821, NOR-2822, NOR-2823
NOR-2761: NOR-2826, NOR-2827, NOR-2828
NOR-2765: NOR-2831, NOR-2832, NOR-2833
NOR-2769: NOR-2836, NOR-2837, NOR-2838
NOR-2773: NOR-2841, NOR-2842, NOR-2843
NOR-2777: NOR-2846, NOR-2847, NOR-2848
NOR-2781: NOR-2851, NOR-2852, NOR-2853
NOR-2785: NOR-2856, NOR-2857, NOR-2858
NOR-2789: NOR-2861
NOR-2790: NOR-2861
NOR-2791: NOR-2864, NOR-2913
NOR-2794: NOR-2864, NOR-2912
NOR-2797: NOR-2868, NOR-2869, NOR-3016
NOR-2801: NOR-2870
NOR-2802: NOR-2870
NOR-2803: NOR-2873, NOR-2921
NOR-2806: NOR-2877
NOR-2807: NOR-2877
NOR-2808: NOR-2926, NOR-2988
NOR-2811: NOR-2878
NOR-2812: NOR-2878
NOR-2813: NOR-2930, NOR-2990
NOR-2816: NOR-2881
NOR-2817: NOR-2881
NOR-2818: NOR-2934, NOR-2992
NOR-2821: NOR-2884
NOR-2822: NOR-2884
NOR-2823: NOR-2938, NOR-2994
NOR-2826: NOR-2887
NOR-2827: NOR-2887
NOR-2828: NOR-2942, NOR-2996
NOR-2831: NOR-2890
NOR-2832: NOR-2890
NOR-2833: NOR-2946, NOR-2998
NOR-2836: NOR-2893
NOR-2837: NOR-2893
NOR-2838: NOR-2950, NOR-3000
NOR-2841: NOR-2896
NOR-2842: NOR-2896
NOR-2843: NOR-2954, NOR-3002
NOR-2846: NOR-2899
NOR-2847: NOR-2899
NOR-2848: NOR-2958, NOR-3004
NOR-2851: NOR-2902
NOR-2852: NOR-2902
NOR-2853: NOR-2962, NOR-3006
NOR-2856: NOR-2905
NOR-2857: NOR-2905
NOR-2858: NOR-2908, NOR-2967
NOR-2861: NOR-2908, NOR-2966
NOR-2864: NOR-2912, NOR-2913, NOR-3064
NOR-2868: NOR-2914
NOR-2869: NOR-2914
NOR-2870: NOR-2917, NOR-2975
NOR-2873: NOR-2921, NOR-2922, NOR-2923
NOR-2878: NOR-2926, NOR-2987
NOR-2881: NOR-2930, NOR-2989
NOR-2884: NOR-2934, NOR-2991
NOR-2887: NOR-2938, NOR-2993
NOR-2890: NOR-2942, NOR-2995
NOR-2893: NOR-2946, NOR-2997
NOR-2896: NOR-2950, NOR-2999
NOR-2899: NOR-2954, NOR-3001
NOR-2902: NOR-2958, NOR-3003
NOR-2905: NOR-2962, NOR-3005
NOR-2908: NOR-2966, NOR-2967, NOR-3121
NOR-2912: NOR-2968
NOR-2913: NOR-2968
NOR-2914: NOR-2971, NOR-3014
NOR-2917: NOR-2975, NOR-2976, NOR-2977
NOR-2921: NOR-2980
NOR-2922: NOR-2980
NOR-2923: NOR-2983, NOR-3027
NOR-2926: NOR-2987, NOR-2988, NOR-3142
NOR-2930: NOR-2989, NOR-2990, NOR-3147
NOR-2934: NOR-2991, NOR-2992, NOR-3152
NOR-2938: NOR-2993, NOR-2994, NOR-3157
NOR-2942: NOR-2995, NOR-2996, NOR-3162
NOR-2946: NOR-2997, NOR-2998, NOR-3167
NOR-2950: NOR-2999, NOR-3000, NOR-3172
NOR-2954: NOR-3001, NOR-3002, NOR-3177
NOR-2958: NOR-3003, NOR-3004, NOR-3182
NOR-2962: NOR-3005, NOR-3006, NOR-3187
NOR-2966: NOR-3007
NOR-2967: NOR-3007
NOR-2968: NOR-3010, NOR-3062
NOR-2971: NOR-3014, NOR-3015, NOR-3016
NOR-2975: NOR-3019
NOR-2976: NOR-3019
NOR-2977: NOR-3022, NOR-3075
NOR-2980: NOR-3022, NOR-3074
NOR-2983: NOR-3026, NOR-3027, NOR-3208
NOR-2987: NOR-3028
NOR-2988: NOR-3028
NOR-2989: NOR-3031
NOR-2990: NOR-3031
NOR-2991: NOR-3034
NOR-2992: NOR-3034
NOR-2993: NOR-3037
NOR-2994: NOR-3037
NOR-2995: NOR-3040
NOR-2996: NOR-3040
NOR-2997: NOR-3043
NOR-2998: NOR-3043
NOR-2999: NOR-3046
NOR-3000: NOR-3046
NOR-3001: NOR-3049
NOR-3002: NOR-3049
NOR-3003: NOR-3052
NOR-3004: NOR-3052
NOR-3005: NOR-3055
NOR-3006: NOR-3055
NOR-3007: NOR-3058, NOR-3119
NOR-3010: NOR-3062, NOR-3063, NOR-3064
NOR-3014: NOR-3067
NOR-3015: NOR-3067
NOR-3016: NOR-3070, NOR-3132
NOR-3019: NOR-3070, NOR-3131
NOR-3022: NOR-3074, NOR-3075, NOR-3254
NOR-3026: NOR-3076
NOR-3027: NOR-3076
NOR-3028: NOR-3079, NOR-3140
NOR-3031: NOR-3083, NOR-3145
NOR-3034: NOR-3087, NOR-3150
NOR-3037: NOR-3091, NOR-3155
NOR-3040: NOR-3095, NOR-3160
NOR-3043: NOR-3099, NOR-3165
NOR-3046: NOR-3103, NOR-3170
NOR-3049: NOR-3107, NOR-3175
NOR-3052: NOR-3111, NOR-3180
NOR-3055: NOR-3115, NOR-3185
NOR-3058: NOR-3119, NOR-3120, NOR-3121
NOR-3062: NOR-3124
NOR-3063: NOR-3124
NOR-3064: NOR-3127, NOR-3198
NOR-3067: NOR-3127, NOR-3197
NOR-3070: NOR-3131, NOR-3132, NOR-3311
NOR-3074: NOR-3133
NOR-3075: NOR-3133
NOR-3076: NOR-3136, NOR-3206
NOR-3079: NOR-3140, NOR-3141, NOR-3142
NOR-3083: NOR-3145, NOR-3146, NOR-3147
NOR-3087: NOR-3150, NOR-3151, NOR-3152
NOR-3091: NOR-3155, NOR-3156, NOR-3157
NOR-3095: NOR-3160, NOR-3161, NOR-3162
NOR-3099: NOR-3165, NOR-3166, NOR-3167
NOR-3103: NOR-3170, NOR-3171, NOR-3172
NOR-3107: NOR-3175, NOR-3176, NOR-3177
NOR-3111: NOR-3180, NOR-3181, NOR-3182
NOR-3115: NOR-3185, NOR-3186, NOR-3187
NOR-3119: NOR-3190
NOR-3120: NOR-3190
NOR-3121: NOR-3193, NOR-3244
NOR-3124: NOR-3193, NOR-3243
NOR-3127: NOR-3197, NOR-3198, NOR-3350
NOR-3131: NOR-3199
NOR-3132: NOR-3199
NOR-3133: NOR-3202, NOR-3252
NOR-3136: NOR-3206, NOR-3207, NOR-3208
NOR-3140: NOR-3211
NOR-3141: NOR-3211
NOR-3142: NOR-3264, NOR-3324
NOR-3145: NOR-3212
NOR-3146: NOR-3212
NOR-3147: NOR-3268, NOR-3326
NOR-3150: NOR-3215
NOR-3151: NOR-3215
NOR-3152: NOR-3272, NOR-3328
NOR-3155: NOR-3218
NOR-3156: NOR-3218
NOR-3157: NOR-3276, NOR-3330
NOR-3160: NOR-3221
NOR-3161: NOR-3221
NOR-3162: NOR-3280, NOR-3332
NOR-3165: NOR-3224
NOR-3166: NOR-3224
NOR-3167: NOR-3284, NOR-3334
NOR-3170: NOR-3227
NOR-3171: NOR-3227
NOR-3172: NOR-3288, NOR-3336
NOR-3175: NOR-3230
NOR-3176: NOR-3230
NOR-3177: NOR-3292, NOR-3338
NOR-3180: NOR-3233
NOR-3181: NOR-3233
NOR-3182: NOR-3296, NOR-3340
NOR-3185: NOR-3236
NOR-3186: NOR-3236
NOR-3187: NOR-3239, NOR-3301
NOR-3190: NOR-3239, NOR-3300
NOR-3193: NOR-3243, NOR-3244, NOR-3398
NOR-3197: NOR-3245
NOR-3198: NOR-3245
NOR-3199: NOR-3248, NOR-3309
NOR-3202: NOR-3252, NOR-3253, NOR-3254
NOR-3206: NOR-3257
NOR-3207: NOR-3257
NOR-3208: NOR-3260, NOR-3322
NOR-3212: NOR-3264, NOR-3323
NOR-3215: NOR-3268, NOR-3325
NOR-3218: NOR-3272, NOR-3327
NOR-3221: NOR-3276, NOR-3329
NOR-3224: NOR-3280, NOR-3331
NOR-3227: NOR-3284, NOR-3333
NOR-3230: NOR-3288, NOR-3335
NOR-3233: NOR-3292, NOR-3337
NOR-3236: NOR-3296, NOR-3339
NOR-3239: NOR-3300, NOR-3301, NOR-3455
NOR-3243: NOR-3302
NOR-3244: NOR-3302
NOR-3245: NOR-3305, NOR-3348
NOR-3248: NOR-3309, NOR-3310, NOR-3311
NOR-3252: NOR-3314
NOR-3253: NOR-3314
NOR-3254: NOR-3317, NOR-3361
NOR-3257: NOR-3317, NOR-3360
NOR-3260: NOR-3321, NOR-3322, NOR-3476
NOR-3264: NOR-3323, NOR-3324, NOR-3481
NOR-3268: NOR-3325, NOR-3326, NOR-3486
NOR-3272: NOR-3327, NOR-3328, NOR-3491
NOR-3276: NOR-3329, NOR-3330, NOR-3496
NOR-3280: NOR-3331, NOR-3332, NOR-3501
NOR-3284: NOR-3333, NOR-3334, NOR-3506
NOR-3288: NOR-3335, NOR-3336, NOR-3511
NOR-3292: NOR-3337, NOR-3338, NOR-3516
NOR-3296: NOR-3339, NOR-3340, NOR-3521
NOR-3300: NOR-3341
NOR-3301: NOR-3341
NOR-3302: NOR-3344, NOR-3396
NOR-3305: NOR-3348, NOR-3349, NOR-3350
NOR-3309: NOR-3353
NOR-3310: NOR-3353
NOR-3311: NOR-3356, NOR-3409
NOR-3314: NOR-3356, NOR-3408
NOR-3317: NOR-3360, NOR-3361, NOR-3542
NOR-3321: NOR-3362
NOR-3322: NOR-3362
NOR-3323: NOR-3365
NOR-3324: NOR-3365
NOR-3325: NOR-3368
NOR-3326: NOR-3368
NOR-3327: NOR-3371
NOR-3328: NOR-3371
NOR-3329: NOR-3374
NOR-3330: NOR-3374
NOR-3331: NOR-3377
NOR-3332: NOR-3377
NOR-3333: NOR-3380
NOR-3334: NOR-3380
NOR-3335: NOR-3383
NOR-3336: NOR-3383
NOR-3337: NOR-3386
NOR-3338: NOR-3386
NOR-3339: NOR-3389
NOR-3340: NOR-3389
NOR-3341: NOR-3392, NOR-3453
NOR-3344: NOR-3396, NOR-3397, NOR-3398
NOR-3348: NOR-3401
NOR-3349: NOR-3401
NOR-3350: NOR-3404, NOR-3466
NOR-3353: NOR-3404, NOR-3465
NOR-3356: NOR-3408, NOR-3409, NOR-3592
NOR-3360: NOR-3410
NOR-3361: NOR-3410
NOR-3362: NOR-3413, NOR-3474
NOR-3365: NOR-3417, NOR-3479
NOR-3368: NOR-3421, NOR-3484
NOR-3371: NOR-3425, NOR-3489
NOR-3374: NOR-3429, NOR-3494
NOR-3377: NOR-3433, NOR-3499
NOR-3380: NOR-3437, NOR-3504
NOR-3383: NOR-3441, NOR-3509
NOR-3386: NOR-3445, NOR-3514
NOR-3389: NOR-3449, NOR-3519
NOR-3392: NOR-3453, NOR-3454, NOR-3455
NOR-3396: NOR-3458
NOR-3397: NOR-3458
NOR-3398: NOR-3461, NOR-3532
NOR-3401: NOR-3461, NOR-3531
NOR-3404: NOR-3465, NOR-3466, NOR-3647
NOR-3408: NOR-3467
NOR-3409: NOR-3467
NOR-3410: NOR-3470, NOR-3540
NOR-3413: NOR-3474, NOR-3475, NOR-3476
NOR-3417: NOR-3479, NOR-3480, NOR-3481
NOR-3421: NOR-3484, NOR-3485, NOR-3486
NOR-3425: NOR-3489, NOR-3490, NOR-3491
NOR-3429: NOR-3494, NOR-3495, NOR-3496
NOR-3433: NOR-3499, NOR-3500, NOR-3501
NOR-3437: NOR-3504, NOR-3505, NOR-3506
NOR-3441: NOR-3509, NOR-3510, NOR-3511
NOR-3445: NOR-3514, NOR-3515, NOR-3516
NOR-3449: NOR-3519, NOR-3520, NOR-3521
NOR-3453: NOR-3524
NOR-3454: NOR-3524
NOR-3455: NOR-3527, NOR-3582
NOR-3458: NOR-3527, NOR-3581
NOR-3461: NOR-3531, NOR-3532, NOR-3687
NOR-3465: NOR-3533
NOR-3466: NOR-3533
NOR-3467: NOR-3536, NOR-3590
NOR-3470: NOR-3540, NOR-3541, NOR-3542
NOR-3474: NOR-3545
NOR-3475: NOR-3545
NOR-3476: NOR-3548, NOR-3603
NOR-3479: NOR-3552
NOR-3480: NOR-3552
NOR-3481: NOR-3604, NOR-3663
NOR-3484: NOR-3553
NOR-3485: NOR-3553
NOR-3486: NOR-3608, NOR-3665
NOR-3489: NOR-3556
NOR-3490: NOR-3556
NOR-3491: NOR-3612, NOR-3667
NOR-3494: NOR-3559
NOR-3495: NOR-3559
NOR-3496: NOR-3616, NOR-3669
NOR-3499: NOR-3562
NOR-3500: NOR-3562
NOR-3501: NOR-3620, NOR-3671
NOR-3504: NOR-3565
NOR-3505: NOR-3565
NOR-3506: NOR-3624, NOR-3673
NOR-3509: NOR-3568
NOR-3510: NOR-3568
NOR-3511: NOR-3628, NOR-3675
NOR-3514: NOR-3571
NOR-3515: NOR-3571
NOR-3516: NOR-3632, NOR-3677
NOR-3519: NOR-3574
NOR-3520: NOR-3574
NOR-3521: NOR-3577, NOR-3637
NOR-3524: NOR-3577, NOR-3636
NOR-3527: NOR-3581, NOR-3582, NOR-3736
NOR-3531: NOR-3583
NOR-3532: NOR-3583
NOR-3533: NOR-3586, NOR-3645
NOR-3536: NOR-3590, NOR-3591, NOR-3592
NOR-3540: NOR-3595
NOR-3541: NOR-3595
NOR-3542: NOR-3598, NOR-3658
NOR-3545: NOR-3598, NOR-3657
NOR-3548: NOR-3602, NOR-3603, NOR-3757
NOR-3553: NOR-3604, NOR-3662
NOR-3556: NOR-3608, NOR-3664
NOR-3559: NOR-3612, NOR-3666
NOR-3562: NOR-3616, NOR-3668
NOR-3565: NOR-3620, NOR-3670
NOR-3568: NOR-3624, NOR-3672
NOR-3571: NOR-3628, NOR-3674
NOR-3574: NOR-3632, NOR-3676
NOR-3577: NOR-3636, NOR-3637, NOR-3794
NOR-3581: NOR-3638
NOR-3582: NOR-3638
NOR-3583: NOR-3641, NOR-3685
NOR-3586: NOR-3645, NOR-3646, NOR-3647
NOR-3590: NOR-3650
NOR-3591: NOR-3650
NOR-3592: NOR-3653, NOR-3698
NOR-3595: NOR-3653, NOR-3697
NOR-3598: NOR-3657, NOR-3658, NOR-3815
NOR-3602: NOR-3659
NOR-3603: NOR-3659
NOR-3604: NOR-3662, NOR-3663, NOR-3827
NOR-3608: NOR-3664, NOR-3665, NOR-3832
NOR-3612: NOR-3666, NOR-3667, NOR-3837
NOR-3616: NOR-3668, NOR-3669, NOR-3842
NOR-3620: NOR-3670, NOR-3671, NOR-3847
NOR-3624: NOR-3672, NOR-3673, NOR-3852
NOR-3628: NOR-3674, NOR-3675, NOR-3857
NOR-3632: NOR-3676, NOR-3677, NOR-3862
NOR-3636: NOR-3678
NOR-3637: NOR-3678
NOR-3638: NOR-3681, NOR-3734
NOR-3641: NOR-3685, NOR-3686, NOR-3687
NOR-3645: NOR-3690
NOR-3646: NOR-3690
NOR-3647: NOR-3693, NOR-3747
NOR-3650: NOR-3693, NOR-3746
NOR-3653: NOR-3697, NOR-3698, NOR-3883
NOR-3657: NOR-3699
NOR-3658: NOR-3699
NOR-3659: NOR-3702, NOR-3755
NOR-3662: NOR-3706
NOR-3663: NOR-3706
NOR-3664: NOR-3709
NOR-3665: NOR-3709
NOR-3666: NOR-3712
NOR-3667: NOR-3712
NOR-3668: NOR-3715
NOR-3669: NOR-3715
NOR-3670: NOR-3718
NOR-3671: NOR-3718
NOR-3672: NOR-3721
NOR-3673: NOR-3721
NOR-3674: NOR-3724
NOR-3675: NOR-3724
NOR-3676: NOR-3727
NOR-3677: NOR-3727
NOR-3678: NOR-3730, NOR-3792
NOR-3681: NOR-3734, NOR-3735, NOR-3736
NOR-3685: NOR-3739
NOR-3686: NOR-3739
NOR-3687: NOR-3742, NOR-3805
NOR-3690: NOR-3742, NOR-3804
NOR-3693: NOR-3746, NOR-3747, NOR-3932
NOR-3697: NOR-3748
NOR-3698: NOR-3748
NOR-3699: NOR-3751, NOR-3813
NOR-3702: NOR-3755, NOR-3756, NOR-3757
NOR-3706: NOR-3760, NOR-3825
NOR-3709: NOR-3764, NOR-3830
NOR-3712: NOR-3768, NOR-3835
NOR-3715: NOR-3772, NOR-3840
NOR-3718: NOR-3776, NOR-3845
NOR-3721: NOR-3780, NOR-3850
NOR-3724: NOR-3784, NOR-3855
NOR-3727: NOR-3788, NOR-3860
NOR-3730: NOR-3792, NOR-3793, NOR-3794
NOR-3734: NOR-3797
NOR-3735: NOR-3797
NOR-3736: NOR-3800, NOR-3873
NOR-3739: NOR-3800, NOR-3872
NOR-3742: NOR-3804, NOR-3805, NOR-3986
NOR-3746: NOR-3806
NOR-3747: NOR-3806
NOR-3748: NOR-3809, NOR-3881
NOR-3751: NOR-3813, NOR-3814, NOR-3815
NOR-3755: NOR-3818
NOR-3756: NOR-3818
NOR-3757: NOR-3821, NOR-3894
NOR-3760: NOR-3825, NOR-3826, NOR-3827
NOR-3764: NOR-3830, NOR-3831, NOR-3832
NOR-3768: NOR-3835, NOR-3836, NOR-3837
NOR-3772: NOR-3840, NOR-3841, NOR-3842
NOR-3776: NOR-3845, NOR-3846, NOR-3847
NOR-3780: NOR-3850, NOR-3851, NOR-3852
NOR-3784: NOR-3855, NOR-3856, NOR-3857
NOR-3788: NOR-3860, NOR-3861, NOR-3862
NOR-3792: NOR-3865
NOR-3793: NOR-3865
NOR-3794: NOR-3868, NOR-3922
NOR-3797: NOR-3868, NOR-3921
NOR-3800: NOR-3872, NOR-3873, NOR-4028
NOR-3804: NOR-3874
NOR-3805: NOR-3874
NOR-3806: NOR-3877, NOR-3930
NOR-3809: NOR-3881, NOR-3882, NOR-3883
NOR-3813: NOR-3886
NOR-3814: NOR-3886
NOR-3815: NOR-3889, NOR-3943
NOR-3818: NOR-3889, NOR-3942
NOR-3821: NOR-3893, NOR-3894, NOR-4049
NOR-3825: NOR-3895
NOR-3826: NOR-3895
NOR-3827: NOR-3947, NOR-4006
NOR-3830: NOR-3896
NOR-3831: NOR-3896
NOR-3832: NOR-3951, NOR-4008
NOR-3835: NOR-3899
NOR-3836: NOR-3899
NOR-3837: NOR-3955, NOR-4010
NOR-3840: NOR-3902
NOR-3841: NOR-3902
NOR-3842: NOR-3959, NOR-4012
NOR-3845: NOR-3905
NOR-3846: NOR-3905
NOR-3847: NOR-3963, NOR-4014
NOR-3850: NOR-3908
NOR-3851: NOR-3908
NOR-3852: NOR-3967, NOR-4016
NOR-3855: NOR-3911
NOR-3856: NOR-3911
NOR-3857: NOR-3971, NOR-4018
